               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.025683,            0.014218,           0.0054077,             0.87413,             0.80733,             0.84783,             0.60449,            0.029734,           0.0086762,           0.0046025,           0.0083566,           0.0083566,           0.0083566
                  85,            0.025993,            0.014537,           0.0050204,             0.84261,             0.81952,             0.83569,             0.59938,             0.02919,           0.0088096,           0.0079935,           0.0083368,           0.0083368,           0.0083368
                  86,            0.025896,            0.013956,           0.0050703,             0.84167,             0.81943,             0.85484,             0.60317,            0.028965,           0.0084209,           0.0052133,            0.008317,            0.008317,            0.008317
                  87,            0.025456,             0.01417,           0.0056098,             0.85041,             0.82627,             0.86716,             0.60154,            0.029321,           0.0084716,           0.0066686,           0.0082972,           0.0082972,           0.0082972
                  88,            0.026394,            0.014267,           0.0055481,             0.81829,             0.81574,             0.81767,             0.58403,            0.029837,           0.0088303,           0.0067823,           0.0082774,           0.0082774,           0.0082774
                  89,            0.025595,            0.014064,            0.005379,             0.84393,             0.80007,             0.82838,             0.59492,             0.02854,           0.0088998,           0.0062522,           0.0082576,           0.0082576,           0.0082576
                  90,            0.025542,            0.014127,           0.0045551,              0.8478,             0.82691,             0.85515,             0.61122,            0.029769,            0.008331,           0.0058909,           0.0082378,           0.0082378,           0.0082378
                  91,            0.025605,            0.014439,           0.0057353,              0.8306,             0.81166,             0.82658,             0.59575,            0.029638,            0.008812,            0.006553,            0.008218,            0.008218,            0.008218
                  92,            0.025101,            0.013974,           0.0050738,             0.79171,             0.82002,             0.85237,             0.61624,            0.027701,            0.008755,           0.0072689,           0.0081982,           0.0081982,           0.0081982
                  93,            0.025175,            0.014521,           0.0052693,             0.81016,             0.85573,             0.86269,             0.60959,            0.028307,           0.0084847,           0.0053847,           0.0081784,           0.0081784,           0.0081784
                  94,            0.025636,            0.013854,           0.0049085,             0.81334,              0.8513,             0.85982,             0.60205,            0.029994,           0.0082359,           0.0044125,           0.0081586,           0.0081586,           0.0081586
                  95,            0.025701,            0.014327,           0.0050374,             0.85347,             0.81528,             0.85148,             0.61269,            0.028902,           0.0082183,              0.0106,           0.0081388,           0.0081388,           0.0081388
                  96,            0.024937,            0.013921,           0.0051648,             0.86507,             0.74758,             0.81852,              0.5926,            0.030105,            0.009365,           0.0084197,            0.008119,            0.008119,            0.008119
                  97,             0.02587,            0.014363,           0.0046745,             0.86199,             0.81488,             0.85681,             0.61894,            0.027935,           0.0085005,           0.0046589,           0.0080992,           0.0080992,           0.0080992
                  98,            0.025798,             0.01399,           0.0048574,             0.86817,             0.76546,             0.84693,              0.6208,            0.028376,           0.0086598,           0.0048422,           0.0080794,           0.0080794,           0.0080794
                  99,            0.024519,            0.013752,           0.0047338,             0.86115,             0.79314,             0.83809,             0.60669,            0.028958,           0.0086998,           0.0041029,           0.0080596,           0.0080596,           0.0080596
                 100,            0.025363,            0.013819,            0.004316,             0.83295,             0.84553,             0.87298,             0.62914,            0.028972,           0.0082819,            0.005028,           0.0080398,           0.0080398,           0.0080398
                 101,            0.024693,            0.013884,           0.0041201,             0.85155,             0.83623,             0.86225,             0.62778,            0.029012,           0.0084298,             0.00358,             0.00802,             0.00802,             0.00802
                 102,            0.024894,            0.013973,           0.0046063,             0.84562,             0.82604,             0.84909,             0.60211,            0.028588,           0.0084221,           0.0096236,           0.0080002,           0.0080002,           0.0080002
                 103,            0.024477,            0.013832,           0.0044876,             0.84914,             0.79265,             0.83364,             0.60888,            0.028058,           0.0087948,           0.0059641,           0.0079804,           0.0079804,           0.0079804
                 104,            0.024502,              0.0135,           0.0048557,             0.84879,             0.80666,             0.84745,             0.61349,            0.029022,            0.008621,           0.0061108,           0.0079606,           0.0079606,           0.0079606
                 105,            0.025169,            0.013889,           0.0044847,               0.834,             0.84142,             0.84858,             0.61985,            0.028404,           0.0088957,           0.0053877,           0.0079408,           0.0079408,           0.0079408
                 106,            0.024342,            0.013772,           0.0051208,             0.85223,             0.79761,             0.82512,              0.6101,            0.029321,           0.0094269,           0.0069981,            0.007921,            0.007921,            0.007921
                 107,            0.025259,            0.013717,           0.0043211,             0.84129,             0.78142,             0.82767,             0.60334,            0.028752,           0.0087826,           0.0075419,           0.0079012,           0.0079012,           0.0079012
                 108,            0.025376,            0.013636,           0.0049245,             0.87506,             0.77284,              0.8536,             0.61093,            0.027877,           0.0087015,            0.011745,           0.0078814,           0.0078814,           0.0078814
                 109,            0.024137,            0.013562,           0.0043271,             0.87669,             0.78724,              0.8317,              0.6062,             0.02841,           0.0088722,            0.010953,           0.0078616,           0.0078616,           0.0078616
                 110,            0.024623,            0.013715,           0.0041326,             0.83573,             0.83926,             0.85319,             0.62282,            0.027843,           0.0086773,            0.012152,           0.0078418,           0.0078418,           0.0078418
                 111,            0.024674,            0.013723,           0.0044839,             0.87197,             0.80889,             0.87203,              0.6309,            0.028394,           0.0083937,           0.0068574,            0.007822,            0.007822,            0.007822
                 112,            0.024098,            0.013659,           0.0037977,             0.82151,               0.815,             0.84791,             0.62739,            0.028784,           0.0087608,           0.0071313,           0.0078022,           0.0078022,           0.0078022
                 113,             0.02386,            0.013679,            0.004159,             0.83775,             0.83243,             0.87112,             0.63175,            0.028821,           0.0083264,           0.0072227,           0.0077824,           0.0077824,           0.0077824
                 114,            0.024166,            0.013375,           0.0041329,             0.88594,             0.74869,             0.83467,             0.61309,            0.029562,           0.0086927,           0.0072815,           0.0077626,           0.0077626,           0.0077626
                 115,            0.024125,            0.013201,           0.0042226,              0.8525,             0.81186,             0.85724,             0.62023,            0.029441,           0.0086703,           0.0037561,           0.0077428,           0.0077428,           0.0077428
                 116,            0.024417,            0.013606,           0.0040811,             0.82767,             0.86647,             0.87719,             0.62969,            0.029092,           0.0085039,           0.0036735,            0.007723,            0.007723,            0.007723
                 117,            0.023886,            0.013362,           0.0041702,             0.86596,             0.81807,             0.84497,             0.62051,            0.028649,           0.0088664,           0.0045529,           0.0077032,           0.0077032,           0.0077032
                 118,            0.024051,            0.013477,           0.0039007,             0.83133,             0.81884,             0.85146,             0.62416,            0.028804,           0.0084734,            0.004874,           0.0076834,           0.0076834,           0.0076834
                 119,            0.023616,            0.013147,           0.0037159,             0.84362,             0.81924,             0.86127,             0.62519,            0.028918,            0.008454,           0.0047026,           0.0076636,           0.0076636,           0.0076636
                 120,            0.024245,            0.013499,           0.0041172,             0.84648,             0.80199,             0.85587,             0.62222,            0.028743,           0.0090102,            0.004409,           0.0076438,           0.0076438,           0.0076438
                 121,             0.02382,            0.013362,           0.0044027,             0.84309,             0.79838,             0.83533,             0.60635,             0.02896,           0.0091573,           0.0071609,            0.007624,            0.007624,            0.007624
                 122,            0.023698,            0.013495,           0.0042005,             0.84256,             0.82352,             0.87435,             0.63739,            0.028469,            0.008513,           0.0060185,           0.0076042,           0.0076042,           0.0076042
                 123,            0.024119,            0.013352,           0.0042736,             0.87473,             0.80366,              0.8584,             0.62557,            0.028789,           0.0085164,           0.0062155,           0.0075844,           0.0075844,           0.0075844
                 124,            0.023428,            0.013356,           0.0041649,             0.88843,             0.79163,             0.86431,             0.63533,            0.028351,           0.0084491,           0.0057401,           0.0075646,           0.0075646,           0.0075646
                 125,            0.023915,            0.013218,            0.004434,             0.85251,             0.80278,             0.85891,             0.62284,            0.027944,           0.0087917,           0.0053061,           0.0075448,           0.0075448,           0.0075448
                 126,              0.0241,            0.013555,           0.0046756,             0.85506,             0.81483,             0.84494,             0.60606,             0.02824,           0.0089899,           0.0088721,            0.007525,            0.007525,            0.007525
                 127,            0.023589,            0.013293,           0.0037963,             0.84025,              0.8332,              0.8625,             0.62489,            0.028055,           0.0089541,           0.0057788,           0.0075052,           0.0075052,           0.0075052
                 128,            0.023314,            0.013203,           0.0038222,             0.84805,             0.82413,             0.86406,             0.63749,            0.027134,           0.0087037,           0.0097658,           0.0074854,           0.0074854,           0.0074854
                 129,             0.02379,            0.013366,           0.0044953,             0.84201,             0.80116,             0.84449,             0.61447,            0.028492,           0.0091583,           0.0060332,           0.0074656,           0.0074656,           0.0074656
                 130,            0.025442,            0.014421,           0.0063438,             0.81978,             0.80263,             0.82252,             0.59383,             0.02882,           0.0093907,            0.010668,           0.0074458,           0.0074458,           0.0074458
                 131,            0.025177,            0.014054,           0.0051909,             0.75281,             0.86532,             0.85763,              0.6113,            0.028782,           0.0088522,           0.0068213,            0.007426,            0.007426,            0.007426
                 132,            0.024044,            0.013644,           0.0044758,             0.88121,             0.77647,             0.86025,             0.61659,            0.028104,           0.0088102,           0.0057914,           0.0074062,           0.0074062,           0.0074062
                 133,            0.024073,            0.013412,           0.0043392,             0.87123,              0.8188,             0.85175,             0.61248,            0.028368,           0.0086003,            0.005842,           0.0073864,           0.0073864,           0.0073864
                 134,            0.023438,            0.013205,           0.0041876,             0.88523,             0.78011,             0.85179,             0.61509,            0.029138,           0.0084581,            0.005555,           0.0073666,           0.0073666,           0.0073666
                 135,            0.023575,            0.013432,           0.0045698,             0.87038,             0.80907,             0.86797,             0.62575,            0.028352,           0.0088313,           0.0055364,           0.0073468,           0.0073468,           0.0073468
                 136,            0.024165,            0.013416,           0.0036288,             0.82631,             0.84359,             0.86448,             0.62026,             0.02851,           0.0086254,           0.0069744,            0.007327,            0.007327,            0.007327
                 137,            0.024186,            0.013355,           0.0037636,             0.84725,             0.83483,              0.8804,             0.62658,            0.028995,            0.008449,           0.0054219,           0.0073072,           0.0073072,           0.0073072
